編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLTKMHLGFDJ09DA,30,102.43,住宅,鋼筋混凝土造,85年4月26日,二層,一層 二層 陽台,全筆移轉
RPPNMLOLMHLGFBJ58EA,38,399.96,商業用,鋼造,77年8月20日,一層,一層,全筆移轉
RPROMLNLMHLGFBJ68DA,,84.53,集合住宅,鋼筋混凝土造,114年12月4日,十三層,十三層 陽台 見其他登記事項,全筆移轉
RPROMLNLMHLGFBJ68DA,,76.22,本共有部分之項目有防空避難室兼停車空間、停車空間等二項。,鋼筋混凝土造,114年12月4日,十三層,,持分移轉
RPROMLNLMHLGFBJ68DA,,18.89,本共有部分之項目有電梯機房、水箱等二項。,鋼筋混凝土造,114年12月4日,十三層,,持分移轉
RPQNMLKLMHLGFCJ38EA,,115.20,住家用,鋼筋混凝土造,,二層,一層 二層,全筆移轉
RPQOMLPKMHLGFBJ68DA,2,39.71,本共有部分之項目有防空避難室兼停車空間、雨水機房、水箱、消防機房、排煙室、梯間、緊急升降機間、揚水機房、公共水箱、停車空間、中繼機房、泳池水箱、台電配電室（１）（２）、電表室及受電箱室、水景機械室、發電機室、防災中心、電信室、門廳、梯廳、穿廊、公共服務空間、資源回收室、游泳池、中繼水箱等二十五項。,鋼筋混凝土造,112年10月30日,二十四層,,持分移轉
RPOOMLNKMHLGFBJ28DA,34,18.56,住家用,鋼筋混凝土造,81年5月13日,六層,五層 陽台,全筆移轉
RPOOMLNKMHLGFBJ28DA,34,1.76,共有部分,鋼筋混凝土造,81年5月13日,六層,,持分移轉
RPOOMLNKMHLGFBJ28DA,34,4.56,共有部分,鋼筋混凝土造,81年5月31日,六層,,持分移轉
RPQNMLLLMHLGFBJ28DA,,40.35,住家用,磚造,,一層,一層,全筆移轉
RPXNMLTJMHLGFBJ96DA,1,146.23,集合住宅,鋼筋混凝土造,114年1月2日,十四層,十二層 陽台 見其他登記事項,全筆移轉
RPXNMLTJMHLGFBJ96DA,1,150.12,本共有部分之項目有防空避難室兼停車空間、停車空間、管委會使用空間等三項。,鋼筋混凝土造,114年1月2日,十四層,,持分移轉
RPXNMLTJMHLGFBJ96DA,1,25.49,本共有部分之項目有樓梯間、昇降機機房、水箱等三項。,鋼筋混凝土造,114年1月2日,十四層,,持分移轉
RPOOMLRKMHLGFBJ68DA,18,107.01,住家用,鋼筋混凝土造,97年8月25日,十四層,十層 陽台 雨遮,全筆移轉
RPOOMLRKMHLGFBJ68DA,18,.06,管理員室,鋼筋混凝土造,97年8月25日,十四層,地下一層,持分移轉
RPOOMLRKMHLGFBJ68DA,18,23.08,共有部分,鋼筋混凝土造,97年8月25日,十四層,,持分移轉
RPOOMLRKMHLGFBJ68DA,18,20.02,共有部分,鋼筋混凝土造,97年8月25日,十四層,,持分移轉
RPOOMLRKMHLGFBJ68DA,18,62.78,共有部分,鋼筋混凝土造,97年8月25日,十四層,,持分移轉
RPVNMLRKMHLGFDJ86DA,21,201.65,住家用,鋼筋混凝土造,93年11月15日,四層,一層 二層 三層 四層 陽台 雨遮,全筆移轉
RPSNMLKMLHLGFBJ38DA,30,53.55,住家用,鋼筋混凝土造,85年7月3日,十三層,八層 陽台,全筆移轉
RPSNMLKMLHLGFBJ38DA,30,5.00,共有部分,鋼筋混凝土造,85年7月3日,十三層,,持分移轉
RPSNMLKMLHLGFBJ38DA,30,12.54,共有部分,鋼筋混凝土造,85年7月3日,十三層,,持分移轉
RPQNMLNKLHLGFCJ48EA,32,26.93,住家用,鋼筋混凝土造,82年12月14日,十一層,六層 陽台,全筆移轉
RPQNMLNKLHLGFCJ48EA,34,1.31,商業用,鋼筋混凝土造,81年5月29日,十一層,地下層,持分移轉
RPQNMLNKLHLGFCJ48EA,34,3.88,貯藏室,鋼筋混凝土造,81年5月29日,十一層,地下層,持分移轉
RPQNMLNKLHLGFCJ48EA,32,6.40,共用部分,鋼筋混凝土造,82年12月14日,十一層,,持分移轉
RPWNMLKKLHLGFBJ58DA,17,.06,商業用,鋼筋混凝土造,97年9月15日,十六層,一層,持分移轉
RPWNMLKKLHLGFBJ58DA,17,34.84,商業用,鋼筋混凝土造,97年9月15日,十六層,十五層 陽台 雨遮,全筆移轉
RPOOMLPKMHLGFBJ48DA,15,.17,管理員室,鋼筋混凝土造,100年5月31日,十四層,一層,持分移轉
RPWNMLKKLHLGFBJ58DA,17,33.25,共有部分,鋼筋混凝土造,97年9月15日,十六層,,持分移轉
RPOOMLPKMHLGFBJ48DA,15,166.68,住家用,鋼筋混凝土造,100年5月31日,十四層,十二層 陽台 雨遮,全筆移轉
RPWNMLKKLHLGFBJ58DA,17,4.99,共有部分,鋼筋混凝土造,97年9月15日,十六層,,持分移轉
RPOOMLPKMHLGFBJ48DA,15,26.31,本共有部分之項目有梯間、水箱、機械室等三項,鋼筋混凝土造,100年5月31日,十四層,,持分移轉
RPWNMLKKLHLGFBJ58DA,17,.00,共有部分,鋼筋混凝土造,97年9月15日,十六層,,持分移轉
RPOOMLPKMHLGFBJ48DA,15,48.18,本共有部分之項目有停車空間、防空避難室、公共服務空間、廣場式頂蓋型開放空間、垃圾室、車道等六項,鋼筋混凝土造,100年5月31日,十四層,,持分移轉
RPWNMLKKLHLGFBJ58DA,17,2.14,共有部分,鋼筋混凝土造,97年9月15日,十六層,,持分移轉
